case_type,id,category,prompt,expected_answer,baseline_output,baseline_correct,baseline_latency_s,hybrid_v1_output,hybrid_v1_correct,hybrid_v1_latency_s,hybrid_v2_output,hybrid_v2_correct,hybrid_v2_latency_s,delta_latency_s,hybrid_v2_route,hybrid_v2_sym_expr,hybrid_v2_llm_answer,suggested_note
BASELINE_WRONG__V2_CORRECT,ALG72,ALG,Answer with only the final number. Solve for x: 4(x + 3) = 8.,-1,0,0,5.54525,-1,1,0.00770,-1,1,7.82330,,LLM+VERIFY_FAIL_FALLBACK_SYM,4(x + 3) = 8,,"Baseline wrong, Hybrid v2 correct (good poster example)."
V1_WRONG__V2_CORRECT,AR100,AR,Answer with only the final number. What is |121 - 77|?,44,44,1,4.30120,,0,0.00160,44,1,6.97230,,LLM+VERIFY_ERROR_KEEP_LLM,,,"Hybrid v1 wrong, Hybrid v2 correct (upgrade from v1)."
V1_WRONG__V2_CORRECT,AR20,AR,Answer with only the final number. What is |42 - 172|?,130,130,1,4.35700,,0,0.00170,130,1,6.72370,,LLM+VERIFY_ERROR_KEEP_LLM,,,"Hybrid v1 wrong, Hybrid v2 correct (upgrade from v1)."
V1_WRONG__V2_CORRECT,AR30,AR,Answer with only the final number. What is |175 - 183|?,8,8,1,4.24930,,0,0.00160,8,1,6.76190,,LLM+VERIFY_ERROR_KEEP_LLM,,,"Hybrid v1 wrong, Hybrid v2 correct (upgrade from v1)."
V1_WRONG__V2_CORRECT,AR40,AR,Answer with only the final number. What is |161 - 120|?,41,41,1,4.24800,,0,0.00170,41,1,6.92960,,LLM+VERIFY_ERROR_KEEP_LLM,,,"Hybrid v1 wrong, Hybrid v2 correct (upgrade from v1)."
V1_WRONG__V2_CORRECT,AR60,AR,Answer with only the final number. What is |130 - 22|?,108,108,1,4.22655,,0,0.00160,108,1,7.02840,,LLM+VERIFY_ERROR_KEEP_LLM,,,"Hybrid v1 wrong, Hybrid v2 correct (upgrade from v1)."
V1_WRONG__V2_CORRECT,AR70,AR,Answer with only the final number. What is |180 - 34|?,146,146,1,4.25440,,0,0.00160,146,1,6.76170,,LLM+VERIFY_ERROR_KEEP_LLM,,,"Hybrid v1 wrong, Hybrid v2 correct (upgrade from v1)."
V1_WRONG__V2_CORRECT,AR80,AR,Answer with only the final number. What is |97 - 129|?,32,32,1,4.26605,,0,0.00160,32,1,6.87030,,LLM+VERIFY_ERROR_KEEP_LLM,,,"Hybrid v1 wrong, Hybrid v2 correct (upgrade from v1)."
V1_WRONG__V2_CORRECT,AR90,AR,Answer with only the final number. What is |149 - 71|?,78,78,1,4.33495,,0,0.00160,78,1,6.96680,,LLM+VERIFY_ERROR_KEEP_LLM,,,"Hybrid v1 wrong, Hybrid v2 correct (upgrade from v1)."
ALL_FAIL_HARD_CASE,LOG02,LOG,"Answer with only Yes or No. If no squares are circles and all circles are shapes, are any squares circles?",No,Yes,0,6.64520,Yes,0,8.71240,Yes,0,8.92670,,LLM_LOG_SELFCONSIST,,,All systems fail (use as known limitation; often LOG).
ALL_FAIL_HARD_CASE,LOG03,LOG,"Answer with only Yes or No. If all A are B and some B are C, does it follow that some A are C?",No,Yes,0,7.29030,Yes,0,3.81130,Yes,0,10.47400,,LLM_LOG_SELFCONSIST,,,All systems fail (use as known limitation; often LOG).
ALL_FAIL_HARD_CASE,LOG08,LOG,"Answer with only Yes or No. If all glips are blaps and no blaps are snorps, can any glips be snorps?",No,Yes,0,8.53325,Yes,0,10.54840,Yes,0,9.45710,,LLM_LOG_SELFCONSIST,,,All systems fail (use as known limitation; often LOG).
ALL_FAIL_HARD_CASE,LOG10,LOG,"Answer with only Yes or No. If either P or Q is true and P is false, must Q be true?",Yes,No,0,7.17835,No,0,3.83050,No,0,9.06140,,LLM_LOG_SELFCONSIST,,,All systems fail (use as known limitation; often LOG).
ALL_FAIL_HARD_CASE,LOG100,LOG,"Answer with only Yes or No. If all birds can fly and a penguin is a bird, can you conclude a penguin can fly?",Yes,No,0,3.13840,No,0,4.46500,No,0,24.70220,,LLM_LOG_SELFCONSIST,,,All systems fail (use as known limitation; often LOG).
ALL_FAIL_HARD_CASE,LOG12,LOG,"Answer with only Yes or No. If all glips are glaps and no glaps are glups, can any glips be glups?",No,Yes,0,8.20325,Yes,0,13.25180,Yes,0,9.08080,,LLM_LOG_SELFCONSIST,,,All systems fail (use as known limitation; often LOG).
ALL_FAIL_HARD_CASE,LOG14,LOG,"Answer with only Yes or No. If some mips are mops and no mops are mups, does it follow that some mips are mups?",No,Yes,0,9.33235,Yes,0,4.16490,Yes,0,9.08410,,LLM_LOG_SELFCONSIST,,,All systems fail (use as known limitation; often LOG).
ALL_FAIL_HARD_CASE,LOG17,LOG,"Answer with only Yes or No. If either P or Q is true and P is false, must Q be true?",Yes,No,0,3.13835,No,0,4.22920,No,0,12.13740,,LLM_LOG_SELFCONSIST,,,All systems fail (use as known limitation; often LOG).
ALL_FAIL_HARD_CASE,LOG20,LOG,"Answer with only Yes or No. If all birds can fly and a penguin is a bird, can you conclude a penguin can fly?",Yes,No,0,8.78550,No,0,4.30430,No,0,21.96240,,LLM_LOG_SELFCONSIST,,,All systems fail (use as known limitation; often LOG).
ALL_FAIL_HARD_CASE,LOG22,LOG,"Answer with only Yes or No. If all glips are glaps and no glaps are glups, can any glips be glups?",No,Yes,0,3.16620,Yes,0,4.27660,Yes,0,12.50180,,LLM_LOG_SELFCONSIST,,,All systems fail (use as known limitation; often LOG).
ALL_FAIL_HARD_CASE,LOG24,LOG,"Answer with only Yes or No. If some mips are mops and no mops are mups, does it follow that some mips are mups?",No,Yes,0,3.21180,Yes,0,4.26370,Yes,0,12.39890,,LLM_LOG_SELFCONSIST,,,All systems fail (use as known limitation; often LOG).
ALL_FAIL_HARD_CASE,LOG27,LOG,"Answer with only Yes or No. If either P or Q is true and P is false, must Q be true?",Yes,No,0,3.22510,No,0,4.35030,No,0,12.39500,,LLM_LOG_SELFCONSIST,,,All systems fail (use as known limitation; often LOG).
ALL_FAIL_HARD_CASE,LOG30,LOG,"Answer with only Yes or No. If all birds can fly and a penguin is a bird, can you conclude a penguin can fly?",Yes,No,0,3.16320,No,0,4.34400,No,0,25.48010,,LLM_LOG_SELFCONSIST,,,All systems fail (use as known limitation; often LOG).
ALL_FAIL_HARD_CASE,LOG32,LOG,"Answer with only Yes or No. If all glips are glaps and no glaps are glups, can any glips be glups?",No,Yes,0,3.18795,Yes,0,4.28440,Yes,0,12.38820,,LLM_LOG_SELFCONSIST,,,All systems fail (use as known limitation; often LOG).
ALL_FAIL_HARD_CASE,LOG34,LOG,"Answer with only Yes or No. If some mips are mops and no mops are mups, does it follow that some mips are mups?",No,Yes,0,3.19745,Yes,0,4.42350,Yes,0,12.40780,,LLM_LOG_SELFCONSIST,,,All systems fail (use as known limitation; often LOG).
ALL_FAIL_HARD_CASE,LOG37,LOG,"Answer with only Yes or No. If either P or Q is true and P is false, must Q be true?",Yes,No,0,3.21955,No,0,4.34470,No,0,12.20190,,LLM_LOG_SELFCONSIST,,,All systems fail (use as known limitation; often LOG).
ALL_FAIL_HARD_CASE,LOG40,LOG,"Answer with only Yes or No. If all birds can fly and a penguin is a bird, can you conclude a penguin can fly?",Yes,No,0,3.19995,No,0,4.38060,No,0,25.26170,,LLM_LOG_SELFCONSIST,,,All systems fail (use as known limitation; often LOG).
ALL_FAIL_HARD_CASE,LOG42,LOG,"Answer with only Yes or No. If all glips are glaps and no glaps are glups, can any glips be glups?",No,Yes,0,3.21240,Yes,0,4.33060,Yes,0,12.37610,,LLM_LOG_SELFCONSIST,,,All systems fail (use as known limitation; often LOG).
ALL_FAIL_HARD_CASE,LOG44,LOG,"Answer with only Yes or No. If some mips are mops and no mops are mups, does it follow that some mips are mups?",No,Yes,0,3.26075,Yes,0,4.42170,Yes,0,12.46470,,LLM_LOG_SELFCONSIST,,,All systems fail (use as known limitation; often LOG).
ALL_FAIL_HARD_CASE,LOG47,LOG,"Answer with only Yes or No. If either P or Q is true and P is false, must Q be true?",Yes,No,0,3.24600,No,0,4.37900,No,0,12.19470,,LLM_LOG_SELFCONSIST,,,All systems fail (use as known limitation; often LOG).
ALL_FAIL_HARD_CASE,LOG50,LOG,"Answer with only Yes or No. If all birds can fly and a penguin is a bird, can you conclude a penguin can fly?",Yes,No,0,3.19130,No,0,4.41030,No,0,24.86090,,LLM_LOG_SELFCONSIST,,,All systems fail (use as known limitation; often LOG).
ALL_FAIL_HARD_CASE,LOG52,LOG,"Answer with only Yes or No. If all glips are glaps and no glaps are glups, can any glips be glups?",No,Yes,0,3.16625,Yes,0,4.42180,Yes,0,12.33670,,LLM_LOG_SELFCONSIST,,,All systems fail (use as known limitation; often LOG).
ALL_FAIL_HARD_CASE,LOG54,LOG,"Answer with only Yes or No. If some mips are mops and no mops are mups, does it follow that some mips are mups?",No,Yes,0,3.17835,Yes,0,4.41820,Yes,0,12.18430,,LLM_LOG_SELFCONSIST,,,All systems fail (use as known limitation; often LOG).
ALL_FAIL_HARD_CASE,LOG57,LOG,"Answer with only Yes or No. If either P or Q is true and P is false, must Q be true?",Yes,No,0,3.13235,No,0,4.38110,No,0,12.46270,,LLM_LOG_SELFCONSIST,,,All systems fail (use as known limitation; often LOG).
ALL_FAIL_HARD_CASE,LOG60,LOG,"Answer with only Yes or No. If all birds can fly and a penguin is a bird, can you conclude a penguin can fly?",Yes,No,0,3.24100,No,0,4.50280,No,0,25.00550,,LLM_LOG_SELFCONSIST,,,All systems fail (use as known limitation; often LOG).
ALL_FAIL_HARD_CASE,LOG62,LOG,"Answer with only Yes or No. If all glips are glaps and no glaps are glups, can any glips be glups?",No,Yes,0,3.15475,Yes,0,4.41930,Yes,0,12.31210,,LLM_LOG_SELFCONSIST,,,All systems fail (use as known limitation; often LOG).
ALL_FAIL_HARD_CASE,LOG64,LOG,"Answer with only Yes or No. If some mips are mops and no mops are mups, does it follow that some mips are mups?",No,Yes,0,3.18305,Yes,0,4.46410,Yes,0,12.11360,,LLM_LOG_SELFCONSIST,,,All systems fail (use as known limitation; often LOG).
ALL_FAIL_HARD_CASE,LOG67,LOG,"Answer with only Yes or No. If either P or Q is true and P is false, must Q be true?",Yes,No,0,3.14495,No,0,4.52550,No,0,12.09180,,LLM_LOG_SELFCONSIST,,,All systems fail (use as known limitation; often LOG).
ALL_FAIL_HARD_CASE,LOG70,LOG,"Answer with only Yes or No. If all birds can fly and a penguin is a bird, can you conclude a penguin can fly?",Yes,No,0,3.19455,No,0,4.43510,No,0,24.83410,,LLM_LOG_SELFCONSIST,,,All systems fail (use as known limitation; often LOG).
ALL_FAIL_HARD_CASE,LOG72,LOG,"Answer with only Yes or No. If all glips are glaps and no glaps are glups, can any glips be glups?",No,Yes,0,3.15900,Yes,0,4.54360,Yes,0,12.13860,,LLM_LOG_SELFCONSIST,,,All systems fail (use as known limitation; often LOG).
V2_FAIL,LOG02,LOG,"Answer with only Yes or No. If no squares are circles and all circles are shapes, are any squares circles?",No,Yes,0,6.64520,Yes,0,8.71240,Yes,0,8.92670,,LLM_LOG_SELFCONSIST,,,Hybrid v2 fails (use as remaining weakness example; check LOG).
V2_FAIL,LOG03,LOG,"Answer with only Yes or No. If all A are B and some B are C, does it follow that some A are C?",No,Yes,0,7.29030,Yes,0,3.81130,Yes,0,10.47400,,LLM_LOG_SELFCONSIST,,,Hybrid v2 fails (use as remaining weakness example; check LOG).
V2_FAIL,LOG08,LOG,"Answer with only Yes or No. If all glips are blaps and no blaps are snorps, can any glips be snorps?",No,Yes,0,8.53325,Yes,0,10.54840,Yes,0,9.45710,,LLM_LOG_SELFCONSIST,,,Hybrid v2 fails (use as remaining weakness example; check LOG).
V2_FAIL,LOG10,LOG,"Answer with only Yes or No. If either P or Q is true and P is false, must Q be true?",Yes,No,0,7.17835,No,0,3.83050,No,0,9.06140,,LLM_LOG_SELFCONSIST,,,Hybrid v2 fails (use as remaining weakness example; check LOG).
V2_FAIL,LOG100,LOG,"Answer with only Yes or No. If all birds can fly and a penguin is a bird, can you conclude a penguin can fly?",Yes,No,0,3.13840,No,0,4.46500,No,0,24.70220,,LLM_LOG_SELFCONSIST,,,Hybrid v2 fails (use as remaining weakness example; check LOG).
V2_FAIL,LOG12,LOG,"Answer with only Yes or No. If all glips are glaps and no glaps are glups, can any glips be glups?",No,Yes,0,8.20325,Yes,0,13.25180,Yes,0,9.08080,,LLM_LOG_SELFCONSIST,,,Hybrid v2 fails (use as remaining weakness example; check LOG).
V2_FAIL,LOG14,LOG,"Answer with only Yes or No. If some mips are mops and no mops are mups, does it follow that some mips are mups?",No,Yes,0,9.33235,Yes,0,4.16490,Yes,0,9.08410,,LLM_LOG_SELFCONSIST,,,Hybrid v2 fails (use as remaining weakness example; check LOG).
V2_FAIL,LOG17,LOG,"Answer with only Yes or No. If either P or Q is true and P is false, must Q be true?",Yes,No,0,3.13835,No,0,4.22920,No,0,12.13740,,LLM_LOG_SELFCONSIST,,,Hybrid v2 fails (use as remaining weakness example; check LOG).
V2_FAIL,LOG20,LOG,"Answer with only Yes or No. If all birds can fly and a penguin is a bird, can you conclude a penguin can fly?",Yes,No,0,8.78550,No,0,4.30430,No,0,21.96240,,LLM_LOG_SELFCONSIST,,,Hybrid v2 fails (use as remaining weakness example; check LOG).
V2_FAIL,LOG22,LOG,"Answer with only Yes or No. If all glips are glaps and no glaps are glups, can any glips be glups?",No,Yes,0,3.16620,Yes,0,4.27660,Yes,0,12.50180,,LLM_LOG_SELFCONSIST,,,Hybrid v2 fails (use as remaining weakness example; check LOG).
V2_FAIL,LOG24,LOG,"Answer with only Yes or No. If some mips are mops and no mops are mups, does it follow that some mips are mups?",No,Yes,0,3.21180,Yes,0,4.26370,Yes,0,12.39890,,LLM_LOG_SELFCONSIST,,,Hybrid v2 fails (use as remaining weakness example; check LOG).
V2_FAIL,LOG27,LOG,"Answer with only Yes or No. If either P or Q is true and P is false, must Q be true?",Yes,No,0,3.22510,No,0,4.35030,No,0,12.39500,,LLM_LOG_SELFCONSIST,,,Hybrid v2 fails (use as remaining weakness example; check LOG).
V2_FAIL,LOG30,LOG,"Answer with only Yes or No. If all birds can fly and a penguin is a bird, can you conclude a penguin can fly?",Yes,No,0,3.16320,No,0,4.34400,No,0,25.48010,,LLM_LOG_SELFCONSIST,,,Hybrid v2 fails (use as remaining weakness example; check LOG).
V2_FAIL,LOG32,LOG,"Answer with only Yes or No. If all glips are glaps and no glaps are glups, can any glips be glups?",No,Yes,0,3.18795,Yes,0,4.28440,Yes,0,12.38820,,LLM_LOG_SELFCONSIST,,,Hybrid v2 fails (use as remaining weakness example; check LOG).
V2_FAIL,LOG34,LOG,"Answer with only Yes or No. If some mips are mops and no mops are mups, does it follow that some mips are mups?",No,Yes,0,3.19745,Yes,0,4.42350,Yes,0,12.40780,,LLM_LOG_SELFCONSIST,,,Hybrid v2 fails (use as remaining weakness example; check LOG).
V2_FAIL,LOG37,LOG,"Answer with only Yes or No. If either P or Q is true and P is false, must Q be true?",Yes,No,0,3.21955,No,0,4.34470,No,0,12.20190,,LLM_LOG_SELFCONSIST,,,Hybrid v2 fails (use as remaining weakness example; check LOG).
V2_FAIL,LOG40,LOG,"Answer with only Yes or No. If all birds can fly and a penguin is a bird, can you conclude a penguin can fly?",Yes,No,0,3.19995,No,0,4.38060,No,0,25.26170,,LLM_LOG_SELFCONSIST,,,Hybrid v2 fails (use as remaining weakness example; check LOG).
V2_FAIL,LOG42,LOG,"Answer with only Yes or No. If all glips are glaps and no glaps are glups, can any glips be glups?",No,Yes,0,3.21240,Yes,0,4.33060,Yes,0,12.37610,,LLM_LOG_SELFCONSIST,,,Hybrid v2 fails (use as remaining weakness example; check LOG).
V2_FAIL,LOG44,LOG,"Answer with only Yes or No. If some mips are mops and no mops are mups, does it follow that some mips are mups?",No,Yes,0,3.26075,Yes,0,4.42170,Yes,0,12.46470,,LLM_LOG_SELFCONSIST,,,Hybrid v2 fails (use as remaining weakness example; check LOG).
V2_FAIL,LOG47,LOG,"Answer with only Yes or No. If either P or Q is true and P is false, must Q be true?",Yes,No,0,3.24600,No,0,4.37900,No,0,12.19470,,LLM_LOG_SELFCONSIST,,,Hybrid v2 fails (use as remaining weakness example; check LOG).
V2_FAIL,LOG50,LOG,"Answer with only Yes or No. If all birds can fly and a penguin is a bird, can you conclude a penguin can fly?",Yes,No,0,3.19130,No,0,4.41030,No,0,24.86090,,LLM_LOG_SELFCONSIST,,,Hybrid v2 fails (use as remaining weakness example; check LOG).
V2_FAIL,LOG52,LOG,"Answer with only Yes or No. If all glips are glaps and no glaps are glups, can any glips be glups?",No,Yes,0,3.16625,Yes,0,4.42180,Yes,0,12.33670,,LLM_LOG_SELFCONSIST,,,Hybrid v2 fails (use as remaining weakness example; check LOG).
V2_FAIL,LOG54,LOG,"Answer with only Yes or No. If some mips are mops and no mops are mups, does it follow that some mips are mups?",No,Yes,0,3.17835,Yes,0,4.41820,Yes,0,12.18430,,LLM_LOG_SELFCONSIST,,,Hybrid v2 fails (use as remaining weakness example; check LOG).
V2_FAIL,LOG57,LOG,"Answer with only Yes or No. If either P or Q is true and P is false, must Q be true?",Yes,No,0,3.13235,No,0,4.38110,No,0,12.46270,,LLM_LOG_SELFCONSIST,,,Hybrid v2 fails (use as remaining weakness example; check LOG).
V2_FAIL,LOG60,LOG,"Answer with only Yes or No. If all birds can fly and a penguin is a bird, can you conclude a penguin can fly?",Yes,No,0,3.24100,No,0,4.50280,No,0,25.00550,,LLM_LOG_SELFCONSIST,,,Hybrid v2 fails (use as remaining weakness example; check LOG).
V2_FAIL,LOG62,LOG,"Answer with only Yes or No. If all glips are glaps and no glaps are glups, can any glips be glups?",No,Yes,0,3.15475,Yes,0,4.41930,Yes,0,12.31210,,LLM_LOG_SELFCONSIST,,,Hybrid v2 fails (use as remaining weakness example; check LOG).
V2_FAIL,LOG64,LOG,"Answer with only Yes or No. If some mips are mops and no mops are mups, does it follow that some mips are mups?",No,Yes,0,3.18305,Yes,0,4.46410,Yes,0,12.11360,,LLM_LOG_SELFCONSIST,,,Hybrid v2 fails (use as remaining weakness example; check LOG).
V2_FAIL,LOG67,LOG,"Answer with only Yes or No. If either P or Q is true and P is false, must Q be true?",Yes,No,0,3.14495,No,0,4.52550,No,0,12.09180,,LLM_LOG_SELFCONSIST,,,Hybrid v2 fails (use as remaining weakness example; check LOG).
