id,category,prompt,expected_answer
AR88,AR,Answer with only the final number. What is (429 + 43) - 60?,412
AR89,AR,Answer with only the final number. What is (15 * 3) / 5?,9
AR90,AR,Answer with only the final number. What is |149 - 71|?,78
AR91,AR,Answer with only the final number. What is (12 + 34) * 6?,276
AR92,AR,Answer with only the final number. What is 339 - 24*3?,267
AR93,AR,Answer with only the final number. What is 168 / 7?,24
AR94,AR,Answer with only the final number. What is 20 * 53?,1060
AR95,AR,Answer with only the final number. What is (80 * 4) + (78 * 4)?,632
AR96,AR,Answer with only the final number. What is 13^2?,169
AR97,AR,Answer with only the final number. What is (153 / 9) * 8?,136
AR98,AR,Answer with only the final number. What is (895 + 13) - 42?,866
AR99,AR,Answer with only the final number. What is (84 * 9) / 7?,108
AR100,AR,Answer with only the final number. What is |121 - 77|?,44
ALG11,ALG,Answer with only the final number. Solve for x: 9x + -3 = 78.,9
ALG12,ALG,Answer with only the final number. Solve for x: 8(x + 9) = -72.,-18
ALG13,ALG,Answer with only the final number. Solve for x: (x + 0)/10 = 1.,10
ALG14,ALG,Answer with only the final number. Solve for x: x/3 = 10.,30
ALG15,ALG,Answer with only the final number. Solve for x: 3x - (x - 5) = 23.,9
ALG16,ALG,Answer with only the final number. Solve for x: 2x + -21 = -29.,-4
ALG17,ALG,Answer with only the final number. Solve for x: 4(x + -5) = -52.,-8
ALG18,ALG,Answer with only the final number. Solve for x: (x + 19)/8 = 4.,13
ALG19,ALG,Answer with only the final number. Solve for x: x/12 = 15.,180
ALG20,ALG,Answer with only the final number. Solve for x: 3x - (x - 5) = 25.,10
ALG21,ALG,Answer with only the final number. Solve for x: 7x + 6 = -106.,-16
ALG22,ALG,Answer with only the final number. Solve for x: 10(x + 1) = -170.,-18
ALG23,ALG,Answer with only the final number. Solve for x: (x + -8)/6 = -1.,2
ALG24,ALG,Answer with only the final number. Solve for x: x/4 = 8.,32
ALG25,ALG,Answer with only the final number. Solve for x: 3x - (x - 5) = -19.,-12
ALG26,ALG,Answer with only the final number. Solve for x: 12x + -7 = 233.,20
ALG27,ALG,Answer with only the final number. Solve for x: 7(x + 0) = -133.,-19
ALG28,ALG,Answer with only the final number. Solve for x: (x + 17)/6 = 3.,1
ALG29,ALG,Answer with only the final number. Solve for x: x/3 = 11.,33
ALG30,ALG,Answer with only the final number. Solve for x: 3x - (x - 5) = 35.,15
ALG31,ALG,Answer with only the final number. Solve for x: 11x + 10 = 109.,9
ALG32,ALG,Answer with only the final number. Solve for x: 2(x + -3) = 12.,9
ALG33,ALG,Answer with only the final number. Solve for x: (x + -13)/9 = -3.,-14
ALG34,ALG,Answer with only the final number. Solve for x: x/5 = -7.,-35
ALG35,ALG,Answer with only the final number. Solve for x: 3x - (x - 5) = -1.,-3
ALG36,ALG,Answer with only the final number. Solve for x: 11x + 19 = 162.,13
ALG37,ALG,Answer with only the final number. Solve for x: 4(x + 0) = 56.,14
ALG38,ALG,Answer with only the final number. Solve for x: (x + -9)/4 = -5.,-11
ALG39,ALG,Answer with only the final number. Solve for x: x/6 = -1.,-6
ALG40,ALG,Answer with only the final number. Solve for x: 3x - (x - 5) = 23.,9
ALG41,ALG,Answer with only the final number. Solve for x: 10x + -30 = -120.,-9
ALG42,ALG,Answer with only the final number. Solve for x: 2(x + -10) = -58.,-19
ALG43,ALG,Answer with only the final number. Solve for x: (x + -10)/6 = -3.,-8
ALG44,ALG,Answer with only the final number. Solve for x: x/7 = -13.,-91
ALG45,ALG,Answer with only the final number. Solve for x: 3x - (x - 5) = -27.,-16
ALG46,ALG,Answer with only the final number. Solve for x: 9x + -16 = 20.,4
ALG47,ALG,Answer with only the final number. Solve for x: 6(x + -1) = -42.,-6
ALG48,ALG,Answer with only the final number. Solve for x: (x + -16)/3 = -4.,4
ALG49,ALG,Answer with only the final number. Solve for x: x/8 = -16.,-128
ALG50,ALG,Answer with only the final number. Solve for x: 3x - (x - 5) = -35.,-20
ALG51,ALG,Answer with only the final number. Solve for x: 2x + 18 = 48.,15
ALG52,ALG,Answer with only the final number. Solve for x: 2(x + 1) = -12.,-7
ALG53,ALG,Answer with only the final number. Solve for x: (x + 6)/10 = -2.,-26
ALG54,ALG,Answer with only the final number. Solve for x: x/11 = -4.,-44
ALG55,ALG,Answer with only the final number. Solve for x: 3x - (x - 5) = 21.,8
ALG56,ALG,Answer with only the final number. Solve for x: 6x + 21 = -69.,-15
ALG57,ALG,Answer with only the final number. Solve for x: 5(x + 9) = 110.,13
ALG58,ALG,Answer with only the final number. Solve for x: (x + -19)/10 = -1.,9
ALG59,ALG,Answer with only the final number. Solve for x: x/12 = 11.,132
ALG60,ALG,Answer with only the final number. Solve for x: 3x - (x - 5) = -21.,-13
ALG61,ALG,Answer with only the final number. Solve for x: 11x + -20 = 178.,18
ALG62,ALG,Answer with only the final number. Solve for x: 3(x + 2) = 39.,11
ALG63,ALG,Answer with only the final number. Solve for x: (x + -9)/8 = 0.,9
ALG64,ALG,Answer with only the final number. Solve for x: x/6 = 10.,60
ALG65,ALG,Answer with only the final number. Solve for x: 3x - (x - 5) = 25.,10
ALG66,ALG,Answer with only the final number. Solve for x: 10x + 23 = -37.,-6
ALG67,ALG,Answer with only the final number. Solve for x: 4(x + 5) = 56.,9
ALG68,ALG,Answer with only the final number. Solve for x: (x + -15)/7 = -1.,8
ALG69,ALG,Answer with only the final number. Solve for x: x/12 = -13.,-156
ALG70,ALG,Answer with only the final number. Solve for x: 3x - (x - 5) = -27.,-16
ALG71,ALG,Answer with only the final number. Solve for x: 11x + -24 = 196.,20
ALG72,ALG,Answer with only the final number. Solve for x: 4(x + 3) = 8.,-1
ALG73,ALG,Answer with only the final number. Solve for x: (x + -12)/7 = -5.,-23
ALG74,ALG,Answer with only the final number. Solve for x: x/6 = -18.,-108
ALG75,ALG,Answer with only the final number. Solve for x: 3x - (x - 5) = -7.,-6
ALG76,ALG,Answer with only the final number. Solve for x: 12x + -6 = -234.,-19
ALG77,ALG,Answer with only the final number. Solve for x: 12(x + -4) = -180.,-11
ALG78,ALG,Answer with only the final number. Solve for x: (x + -15)/11 = -3.,-18
ALG79,ALG,Answer with only the final number. Solve for x: x/9 = -10.,-90
ALG80,ALG,Answer with only the final number. Solve for x: 3x - (x - 5) = 25.,10
ALG81,ALG,Answer with only the final number. Solve for x: 10x + -19 = -199.,-18
ALG82,ALG,Answer with only the final number. Solve for x: 5(x + 10) = 5.,-9
ALG83,ALG,Answer with only the final number. Solve for x: (x + -13)/11 = -2.,-9
ALG84,ALG,Answer with only the final number. Solve for x: x/12 = 11.,132
ALG85,ALG,Answer with only the final number. Solve for x: 3x - (x - 5) = 43.,19
ALG86,ALG,Answer with only the final number. Solve for x: 4x + 21 = 29.,2
ALG87,ALG,Answer with only the final number. Solve for x: 4(x + 9) = 80.,11
ALG88,ALG,Answer with only the final number. Solve for x: (x + -16)/7 = -5.,-19
ALG89,ALG,Answer with only the final number. Solve for x: x/7 = -18.,-126
ALG90,ALG,Answer with only the final number. Solve for x: 3x - (x - 5) = 13.,4
ALG91,ALG,Answer with only the final number. Solve for x: 4x + -25 = -45.,-5
ALG92,ALG,Answer with only the final number. Solve for x: 8(x + 6) = 184.,17
ALG93,ALG,Answer with only the final number. Solve for x: (x + 8)/12 = 1.,4
ALG94,ALG,Answer with only the final number. Solve for x: x/9 = 15.,135
ALG95,ALG,Answer with only the final number. Solve for x: 3x - (x - 5) = -31.,-18
ALG96,ALG,Answer with only the final number. Solve for x: 8x + -2 = 142.,18
ALG97,ALG,Answer with only the final number. Solve for x: 8(x + 1) = -24.,-4
ALG98,ALG,Answer with only the final number. Solve for x: (x + 4)/6 = -2.,-16
ALG99,ALG,Answer with only the final number. Solve for x: x/9 = 0.,0
ALG100,ALG,Answer with only the final number. Solve for x: 3x - (x - 5) = -15.,-10
LOG11,LOG,"Answer with only Yes or No. If all blips are blops and all blops are blups, are all blips blups?",Yes
LOG12,LOG,"Answer with only Yes or No. If all glips are glaps and no glaps are glups, can any glips be glups?",No
LOG13,LOG,"Answer with only Yes or No. If some targs are torgs and all torgs are turgs, does it follow that some targs are turgs?",Yes
LOG14,LOG,"Answer with only Yes or No. If some mips are mops and no mops are mups, does it follow that some mips are mups?",No
LOG15,LOG,"Answer with only Yes or No. If X implies Y and X is true, must Y be true?",Yes
LOG16,LOG,"Answer with only Yes or No. If X implies Y and X is false, must Y be true?",No
LOG17,LOG,"Answer with only Yes or No. If either P or Q is true and P is false, must Q be true?",Yes
LOG18,LOG,"Answer with only Yes or No. If either P or Q is true and Q is false, must P be true?",Yes
LOG19,LOG,"Answer with only Yes or No. If both P and Q are true, is P true?",Yes
LOG20,LOG,"Answer with only Yes or No. If all birds can fly and a penguin is a bird, can you conclude a penguin can fly?",Yes
LOG21,LOG,"Answer with only Yes or No. If all blips are blops and all blops are blups, are all blips blups?",Yes
LOG22,LOG,"Answer with only Yes or No. If all glips are glaps and no glaps are glups, can any glips be glups?",No
LOG23,LOG,"Answer with only Yes or No. If some targs are torgs and all torgs are turgs, does it follow that some targs are turgs?",Yes
LOG24,LOG,"Answer with only Yes or No. If some mips are mops and no mops are mups, does it follow that some mips are mups?",No
LOG25,LOG,"Answer with only Yes or No. If X implies Y and X is true, must Y be true?",Yes
LOG26,LOG,"Answer with only Yes or No. If X implies Y and X is false, must Y be true?",No
LOG27,LOG,"Answer with only Yes or No. If either P or Q is true and P is false, must Q be true?",Yes
LOG28,LOG,"Answer with only Yes or No. If either P or Q is true and Q is false, must P be true?",Yes
LOG29,LOG,"Answer with only Yes or No. If both P and Q are true, is P true?",Yes
LOG30,LOG,"Answer with only Yes or No. If all birds can fly and a penguin is a bird, can you conclude a penguin can fly?",Yes
LOG31,LOG,"Answer with only Yes or No. If all blips are blops and all blops are blups, are all blips blups?",Yes
LOG32,LOG,"Answer with only Yes or No. If all glips are glaps and no glaps are glups, can any glips be glups?",No
LOG33,LOG,"Answer with only Yes or No. If some targs are torgs and all torgs are turgs, does it follow that some targs are turgs?",Yes
LOG34,LOG,"Answer with only Yes or No. If some mips are mops and no mops are mups, does it follow that some mips are mups?",No
LOG35,LOG,"Answer with only Yes or No. If X implies Y and X is true, must Y be true?",Yes
LOG36,LOG,"Answer with only Yes or No. If X implies Y and X is false, must Y be true?",No
LOG37,LOG,"Answer with only Yes or No. If either P or Q is true and P is false, must Q be true?",Yes
LOG38,LOG,"Answer with only Yes or No. If either P or Q is true and Q is false, must P be true?",Yes
LOG39,LOG,"Answer with only Yes or No. If both P and Q are true, is P true?",Yes
LOG40,LOG,"Answer with only Yes or No. If all birds can fly and a penguin is a bird, can you conclude a penguin can fly?",Yes
LOG41,LOG,"Answer with only Yes or No. If all blips are blops and all blops are blups, are all blips blups?",Yes
LOG42,LOG,"Answer with only Yes or No. If all glips are glaps and no glaps are glups, can any glips be glups?",No
LOG43,LOG,"Answer with only Yes or No. If some targs are torgs and all torgs are turgs, does it follow that some targs are turgs?",Yes
LOG44,LOG,"Answer with only Yes or No. If some mips are mops and no mops are mups, does it follow that some mips are mups?",No
LOG45,LOG,"Answer with only Yes or No. If X implies Y and X is true, must Y be true?",Yes
LOG46,LOG,"Answer with only Yes or No. If X implies Y and X is false, must Y be true?",No
LOG47,LOG,"Answer with only Yes or No. If either P or Q is true and P is false, must Q be true?",Yes
LOG48,LOG,"Answer with only Yes or No. If either P or Q is true and Q is false, must P be true?",Yes
LOG49,LOG,"Answer with only Yes or No. If both P and Q are true, is P true?",Yes
LOG50,LOG,"Answer with only Yes or No. If all birds can fly and a penguin is a bird, can you conclude a penguin can fly?",Yes
LOG51,LOG,"Answer with only Yes or No. If all blips are blops and all blops are blups, are all blips blups?",Yes
LOG52,LOG,"Answer with only Yes or No. If all glips are glaps and no glaps are glups, can any glips be glups?",No
LOG53,LOG,"Answer with only Yes or No. If some targs are torgs and all torgs are turgs, does it follow that some targs are turgs?",Yes
LOG54,LOG,"Answer with only Yes or No. If some mips are mops and no mops are mups, does it follow that some mips are mups?",No
LOG55,LOG,"Answer with only Yes or No. If X implies Y and X is true, must Y be true?",Yes
LOG56,LOG,"Answer with only Yes or No. If X implies Y and X is false, must Y be true?",No
LOG57,LOG,"Answer with only Yes or No. If either P or Q is true and P is false, must Q be true?",Yes
LOG58,LOG,"Answer with only Yes or No. If either P or Q is true and Q is false, must P be true?",Yes
LOG59,LOG,"Answer with only Yes or No. If both P and Q are true, is P true?",Yes
LOG60,LOG,"Answer with only Yes or No. If all birds can fly and a penguin is a bird, can you conclude a penguin can fly?",Yes
LOG61,LOG,"Answer with only Yes or No. If all blips are blops and all blops are blups, are all blips blups?",Yes
LOG62,LOG,"Answer with only Yes or No. If all glips are glaps and no glaps are glups, can any glips be glups?",No
LOG63,LOG,"Answer with only Yes or No. If some targs are torgs and all torgs are turgs, does it follow that some targs are turgs?",Yes
LOG64,LOG,"Answer with only Yes or No. If some mips are mops and no mops are mups, does it follow that some mips are mups?",No
LOG65,LOG,"Answer with only Yes or No. If X implies Y and X is true, must Y be true?",Yes
LOG66,LOG,"Answer with only Yes or No. If X implies Y and X is false, must Y be true?",No
LOG67,LOG,"Answer with only Yes or No. If either P or Q is true and P is false, must Q be true?",Yes
LOG68,LOG,"Answer with only Yes or No. If either P or Q is true and Q is false, must P be true?",Yes
LOG69,LOG,"Answer with only Yes or No. If both P and Q are true, is P true?",Yes
LOG70,LOG,"Answer with only Yes or No. If all birds can fly and a penguin is a bird, can you conclude a penguin can fly?",Yes
LOG71,LOG,"Answer with only Yes or No. If all blips are blops and all blops are blups, are all blips blups?",Yes
LOG72,LOG,"Answer with only Yes or No. If all glips are glaps and no glaps are glups, can any glips be glups?",No
LOG73,LOG,"Answer with only Yes or No. If some targs are torgs and all torgs are turgs, does it follow that some targs are turgs?",Yes
LOG74,LOG,"Answer with only Yes or No. If some mips are mops and no mops are mups, does it follow that some mips are mups?",No
LOG75,LOG,"Answer with only Yes or No. If X implies Y and X is true, must Y be true?",Yes
LOG76,LOG,"Answer with only Yes or No. If X implies Y and X is false, must Y be true?",No
LOG77,LOG,"Answer with only Yes or No. If either P or Q is true and P is false, must Q be true?",Yes
LOG78,LOG,"Answer with only Yes or No. If either P or Q is true and Q is false, must P be true?",Yes
LOG79,LOG,"Answer with only Yes or No. If both P and Q are true, is P true?",Yes
LOG80,LOG,"Answer with only Yes or No. If all birds can fly and a penguin is a bird, can you conclude a penguin can fly?",Yes
LOG81,LOG,"Answer with only Yes or No. If all blips are blops and all blops are blups, are all blips blups?",Yes
LOG82,LOG,"Answer with only Yes or No. If all glips are glaps and no glaps are glups, can any glips be glups?",No
LOG83,LOG,"Answer with only Yes or No. If some targs are torgs and all torgs are turgs, does it follow that some targs are turgs?",Yes
LOG84,LOG,"Answer with only Yes or No. If some mips are mops and no mops are mups, does it follow that some mips are mups?",No
LOG85,LOG,"Answer with only Yes or No. If X implies Y and X is true, must Y be true?",Yes
LOG86,LOG,"Answer with only Yes or No. If X implies Y and X is false, must Y be true?",No
LOG87,LOG,"Answer with only Yes or No. If either P or Q is true and P is false, must Q be true?",Yes
LOG88,LOG,"Answer with only Yes or No. If either P or Q is true and Q is false, must P be true?",Yes
LOG89,LOG,"Answer with only Yes or No. If both P and Q are true, is P true?",Yes
LOG90,LOG,"Answer with only Yes or No. If all birds can fly and a penguin is a bird, can you conclude a penguin can fly?",Yes
LOG91,LOG,"Answer with only Yes or No. If all blips are blops and all blops are blups, are all blips blups?",Yes
LOG92,LOG,"Answer with only Yes or No. If all glips are glaps and no glaps are glups, can any glips be glups?",No
LOG93,LOG,"Answer with only Yes or No. If some targs are torgs and all torgs are turgs, does it follow that some targs are turgs?",Yes
LOG94,LOG,"Answer with only Yes or No. If some mips are mops and no mops are mups, does it follow that some mips are mups?",No
LOG95,LOG,"Answer with only Yes or No. If X implies Y and X is true, must Y be true?",Yes
LOG96,LOG,"Answer with only Yes or No. If X implies Y and X is false, must Y be true?",No
LOG97,LOG,"Answer with only Yes or No. If either P or Q is true and P is false, must Q be true?",Yes
LOG98,LOG,"Answer with only Yes or No. If either P or Q is true and Q is false, must P be true?",Yes
LOG99,LOG,"Answer with only Yes or No. If both P and Q are true, is P true?",Yes
LOG100,LOG,"Answer with only Yes or No. If all birds can fly and a penguin is a bird, can you conclude a penguin can fly?",Yes
WP11,WP,Answer with only the final number. A pack has 13 items. How many items in 14 packs?,182
WP12,WP,Answer with only the final number. A rectangle has length 25 and width 6. What is its area?,150
WP13,WP,Answer with only the final number. You have 165 stickers and give away 35. How many remain?,130
WP14,WP,Answer with only the final number. A vehicle travels 150 miles in 6 hours. What is its average speed in miles per hour?,25
WP15,WP,Answer with only the final number. A store sells 6 notebooks for $36. How much does 1 notebook cost?,6
WP16,WP,Answer with only the final number. A recipe needs 5 cups of flour per batch. How many cups for 7 batches?,35
WP17,WP,Answer with only the final number. There are 96 students. They form groups of 6. How many groups?,16
WP18,WP,Answer with only the final number. A tank holds 100 liters. 25% is used. How many liters remain?,75
WP19,WP,Answer with only the final number. You read 14 pages per day for 12 days. How many pages total?,168
WP20,WP,Answer with only the final number. An item costs $15. You pay with a $50 bill. How many dollars change do you get?,35
WP21,WP,Answer with only the final number. A pack has 10 items. How many items in 11 packs?,110
WP22,WP,Answer with only the final number. A rectangle has length 30 and width 12. What is its area?,360
WP23,WP,Answer with only the final number. You have 136 stickers and give away 118. How many remain?,18
WP24,WP,Answer with only the final number. A vehicle travels 180 miles in 3 hours. What is its average speed in miles per hour?,60
WP25,WP,Answer with only the final number. A store sells 8 notebooks for $40. How much does 1 notebook cost?,5
WP26,WP,Answer with only the final number. A recipe needs 8 cups of flour per batch. How many cups for 5 batches?,40
WP27,WP,Answer with only the final number. There are 24 students. They form groups of 12. How many groups?,2
WP28,WP,Answer with only the final number. A tank holds 200 liters. 10% is used. How many liters remain?,180
WP29,WP,Answer with only the final number. You read 11 pages per day for 17 days. How many pages total?,187
WP30,WP,Answer with only the final number. An item costs $15. You pay with a $50 bill. How many dollars change do you get?,35
WP31,WP,Answer with only the final number. A pack has 20 items. How many items in 6 packs?,120
WP32,WP,Answer with only the final number. A rectangle has length 11 and width 8. What is its area?,88
WP33,WP,Answer with only the final number. You have 128 stickers and give away 108. How many remain?,20
WP34,WP,Answer with only the final number. A vehicle travels 180 miles in 2 hours. What is its average speed in miles per hour?,90
WP35,WP,Answer with only the final number. A store sells 12 notebooks for $48. How much does 1 notebook cost?,4
WP36,WP,Answer with only the final number. A recipe needs 2 cups of flour per batch. How many cups for 11 batches?,22
WP37,WP,Answer with only the final number. There are 72 students. They form groups of 6. How many groups?,12
WP38,WP,Answer with only the final number. A tank holds 50 liters. 40% is used. How many liters remain?,30
WP39,WP,Answer with only the final number. You read 6 pages per day for 12 days. How many pages total?,72
WP40,WP,Answer with only the final number. An item costs $9. You pay with a $50 bill. How many dollars change do you get?,41
WP41,WP,Answer with only the final number. A pack has 17 items. How many items in 15 packs?,255
WP42,WP,Answer with only the final number. A rectangle has length 16 and width 22. What is its area?,352
WP43,WP,Answer with only the final number. You have 74 stickers and give away 26. How many remain?,48
WP44,WP,Answer with only the final number. A vehicle travels 150 miles in 2 hours. What is its average speed in miles per hour?,75
WP45,WP,Answer with only the final number. A store sells 8 notebooks for $8. How much does 1 notebook cost?,1
WP46,WP,Answer with only the final number. A recipe needs 2 cups of flour per batch. How many cups for 11 batches?,22
WP47,WP,Answer with only the final number. There are 54 students. They form groups of 9. How many groups?,6
WP48,WP,Answer with only the final number. A tank holds 50 liters. 30% is used. How many liters remain?,35
WP49,WP,Answer with only the final number. You read 21 pages per day for 9 days. How many pages total?,189
WP50,WP,Answer with only the final number. An item costs $12. You pay with a $100 bill. How many dollars change do you get?,88
WP51,WP,Answer with only the final number. A pack has 13 items. How many items in 3 packs?,39
WP52,WP,Answer with only the final number. A rectangle has length 27 and width 21. What is its area?,567
WP53,WP,Answer with only the final number. You have 191 stickers and give away 181. How many remain?,10
